rail,pos_x,pos_y,localisation,localisation_fr,rail_work_order,mvt,designation,reference,id,work_order,work_order_unit,point_dev_manoeuvre,point,path,position_type,speed,cnt,x_j1,y_j2,z_j3,w_j4,p_j5,r_j6,e1,wrist,forearm,arm,conf_j1,conf_j4,conf_j6,UF,UT
1,REAR,RIGHT,REAR_RIGHT,AR_D,6,station,rail,E53233044200,1,64,4,1,1,JOINT,JOINT,25.000,0.000,0.000,18.500,-39.000,0.000,106.000,-135.000,2351.500,,,,,,,3,3
1,REAR,RIGHT,REAR_RIGHT,AR_D,6,approach,rail,E53233044200,1,64,4,2,2,LINEAR,JOINT,250.000,100.000,24.701,25.433,-37.461,-5.516,91.909,-115.838,2351.500,,,,,,,3,3
1,REAR,RIGHT,REAR_RIGHT,AR_D,6,approach,rail,E53233044200,1,64,4,3,3,LINEAR,JOINT,250.000,100.000,30.607,28.005,-32.332,8.847,79.947,-114.056,2351.500,,,,,,,3,3
1,REAR,RIGHT,REAR_RIGHT,AR_D,6,approach,rail,E53233044200,1,64,4,4,4,LINEAR,JOINT,250.000,100.000,32.593,30.198,-28.975,36.782,68.048,-124.532,2351.500,,,,,,,3,3
1,REAR,RIGHT,REAR_RIGHT,AR_D,6,approach,rail,E53233044200,1,64,4,5,5,JOINT,JOINT,25.000,100.000,42.000,44.999,-5.001,36.802,-19.999,-90.002,2351.500,,,,,,,3,3
1,REAR,RIGHT,REAR_RIGHT,AR_D,6,approach,rail,E53233044200,1,64,4,6,6,JOINT,JOINT,25.000,100.000,46.641,57.824,-4.711,42.993,-54.764,-47.098,2351.500,,,,,,,3,3
1,REAR,RIGHT,REAR_RIGHT,AR_D,6,approach,rail,E53233044200,1,64,4,7,7,LINEAR,JOINT,250.000,0.000,45.756,53.775,-7.699,44.145,-51.991,-40.823,2351.500,,,,,,,3,3
1,REAR,RIGHT,REAR_RIGHT,AR_D,6,work,fastener,ASNA2392-3-04,179,1,1,8,8,LINEAR,CRT,100,0,230.200,2611.500,3.500,-180,0,90,2351.500,N,U,T,0,0,0,3,3
1,REAR,RIGHT,REAR_RIGHT,AR_D,6,work,fastener,ASNA2392-3-04,177,2,2,9,9,LINEAR,CRT,100.000,0.000,206.200,2611.500,3.500,180.000,0.000,77.000,2351.500,N,U,T,0.000,0.000,0.000,3,3
1,REAR,RIGHT,REAR_RIGHT,AR_D,6,work,fastener,ASNA2392-3-04,176,3,3,10,10,LINEAR,CRT,100.000,0.000,182.200,2611.500,3.500,180.000,0.000,77.000,2351.500,N,U,T,0.000,0.000,0.000,3,3
1,REAR,RIGHT,REAR_RIGHT,AR_D,6,work,fastener,ASNA2392-3-04,178,4,4,11,11,LINEAR,CRT,100.000,0.000,158.200,2611.500,3.500,180.000,0.000,77.000,2351.500,N,U,T,0.000,0.000,0.000,3,3
1,REAR,RIGHT,REAR_RIGHT,AR_D,6,work,fastener,ASNA2392-3-04,175,5,5,12,12,LINEAR,CRT,100.000,0.000,134.200,2611.500,3.500,-180.000,-1.000,56.000,2351.500,N,U,T,0.000,0.000,0.000,3,3
1,REAR,RIGHT,REAR_RIGHT,AR_D,6,clearance,rail,E53233044200,1,64,4,7,1,LINEAR,JOINT,250.000,0.000,45.756,53.775,-7.699,44.145,-51.991,-40.823,2351.500,,,,,,,3,3
1,REAR,RIGHT,REAR_RIGHT,AR_D,6,clearance,rail,E53233044200,1,64,4,6,2,LINEAR,JOINT,250.000,100.000,46.641,57.824,-4.711,42.993,-54.764,-47.098,2351.500,,,,,,,3,3
