rail,rail_work_order,localisation,mvt,designation,reference,id,work_order,point,path,position_type,speed,cnt,x_j1,y_j2,z_j3,w_j4,p_j5,r_j6,e1,wrist,forearm,arm,conf_j1,conf_j4,conf_j6,UF,UT
1,6,,station,rail,E53233044200,1,6,1,JOINT,JOINT,75,0,0.00,18.392,-39.03,0.00,106.03,-135.00,2000.000,,,,,,,3,2
1,6,,approach,rail,E53233044200,1,6,2,LINEAR,JOINT,3000,25,36.94,39.591,-29.04,-13.80,100.01,-102.76,2000.000,,,,,,,3,2
1,6,,approach,rail,E53233044200,1,6,3,JOINT,JOINT,75,10,66.96,55.033,-31.28,-65.35,78.76,-81.69,2000.000,,,,,,,3,2
1,6,,approach,rail,E53233044200,1,6,4,LINEAR,JOINT,3000,0,63.38,56.293,-17.76,-93.42,61.44,-59.22,2000.000,,,,,,,3,2
1,6,,work,fastener,ASNA2392-3-04,110,1,9,LINEAR,CRT,100,0,226.30,2590.053,8.00,90.00,-63.04,-180.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,109,2,10,LINEAR,CRT,100,0,214.30,2590.053,26.50,90.00,-60.00,180.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,108,3,11,LINEAR,CRT,100,0,202.30,2590.053,8.00,90.00,-63.00,180.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,107,4,12,LINEAR,CRT,100,0,190.30,2590.053,26.50,90.00,-70.00,180.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,106,5,13,LINEAR,CRT,100,0,178.30,2590.053,8.00,90.00,-70.00,180.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,105,6,14,LINEAR,CRT,100,0,166.30,2590.053,26.50,90.00,-75.00,180.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,104,7,15,LINEAR,CRT,100,0,154.30,2590.053,8.00,90.00,-77.00,180.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,103,8,16,LINEAR,CRT,100,0,142.30,2590.053,26.50,90.00,-80.00,180.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,102,9,17,LINEAR,CRT,100,0,128.30,2590.053,9.50,90.00,-82.00,-180.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,101,10,18,LINEAR,CRT,100,0,114.30,2590.053,26.50,90.00,-84.00,180.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,100,11,19,LINEAR,CRT,100,0,100.30,2590.053,9.50,90.00,-85.02,-180.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,99,12,20,LINEAR,CRT,100,0,86.30,2590.053,26.50,90.00,-86.00,-180.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,EN6115V3-4,96,13,21,LINEAR,CRT,100,0,72.20,2590.053,9.50,-90.00,-85.00,0.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,EN6115V3-4,95,14,22,LINEAR,CRT,100,0,44.10,2590.053,9.50,-90.00,-81.18,0.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,98,15,23,LINEAR,CRT,100,0,30.10,2590.053,26.50,-90.00,-74.81,0.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,97,16,24,LINEAR,CRT,100,0,16.10,2590.053,9.50,-90.00,-70.97,0.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,96,17,25,LINEAR,CRT,100,0,2.10,2590.053,26.50,-90.00,-69.21,0.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,95,18,26,LINEAR,CRT,100,0,-11.90,2590.053,9.50,-90.00,-71.38,0.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,94,19,27,LINEAR,CRT,100,0,-25.90,2590.053,26.50,-90.00,-65.58,0.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,93,20,28,LINEAR,CRT,100,0,-39.90,2590.053,9.50,-90.00,-74.39,0.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,92,21,29,LINEAR,CRT,100,0,-53.90,2590.053,26.50,-90.00,-64.75,0.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,91,22,30,LINEAR,CRT,100,0,-65.90,2590.053,8.00,-90.00,-68.69,0.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,90,23,31,LINEAR,CRT,100,0,-77.90,2590.053,26.50,-90.00,-61.33,0.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,89,24,32,LINEAR,CRT,100,0,-89.90,2590.053,8.00,-90.00,-62.68,0.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,88,25,33,LINEAR,CRT,100,0,-101.90,2590.053,26.50,-90.00,-54.69,0.00,2000.000,F,U,T,0,0,0,3,2
1,6,,work,fastener,ASNA2392-3-04,87,26,34,LINEAR,CRT,100,0,-113.90,2590.053,8.00,-90.00,-60.08,0.00,2000.000,F,U,T,0,0,0,3,2
1,6,,clearance,rail,E53233044200,1,6,4,LINEAR,JOINT,3000,0,63.38,56.293,-17.76,-93.42,61.44,-59.22,2000.000,,,,,,,3,2
1,6,,clearance,rail,E53233044200,1,6,3,LINEAR,JOINT,3000,10,66.96,55.033,-31.28,-65.35,78.76,-81.69,2000.000,,,,,,,3,2
1,6,,clearance,rail,E53233044200,1,6,2,JOINT,JOINT,75,25,36.94,39.591,-29.04,-13.80,100.01,-102.76,2000.000,,,,,,,3,2
1,6,,clearance,rail,E53233044200,1,6,1,LINEAR,JOINT,3000,0,0.00,18.392,-39.03,0.00,106.03,-135.00,2000.000,,,,,,,3,2
2,5,,station,rail,E53233046200,2,5,1,JOINT,JOINT,75,0,0.00,18.392,-39.03,0.00,106.03,-135.00,1473.000,,,,,,,3,2
2,5,,approach,rail,E53233046200,2,5,2,LINEAR,JOINT,3000,25,36.94,39.591,-29.04,-13.80,100.01,-102.76,1473.000,,,,,,,3,2
2,5,,approach,rail,E53233046200,2,5,3,JOINT,JOINT,75,10,66.96,55.033,-31.28,-65.35,78.76,-81.69,1473.000,,,,,,,3,2
2,5,,approach,rail,E53233046200,2,5,4,LINEAR,JOINT,3000,0,63.38,56.293,-17.76,-93.42,61.44,-59.22,1473.000,,,,,,,3,2
2,5,,work,fastener,ASNA2392-3-04,134,1,9,LINEAR,CRT,100,0,226.30,2063.053,8.00,90.00,-63.04,-180.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,133,2,10,LINEAR,CRT,100,0,214.30,2063.053,26.50,90.00,-60.00,-180.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,132,3,11,LINEAR,CRT,100,0,202.30,2063.053,8.00,90.00,-63.00,-180.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,129,4,12,LINEAR,CRT,100,0,190.30,2063.053,26.50,90.00,-70.00,-180.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,130,5,13,LINEAR,CRT,100,0,178.30,2063.053,8.00,90.00,-70.00,-180.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,128,6,14,LINEAR,CRT,100,0,166.30,2063.053,26.50,90.00,-75.00,-180.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,131,7,15,LINEAR,CRT,100,0,154.30,2063.053,8.00,90.00,-77.00,-180.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,127,8,16,LINEAR,CRT,100,0,142.30,2063.053,26.50,90.00,-80.00,180.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,126,9,17,LINEAR,CRT,100,0,128.30,2063.053,9.50,90.00,-82.00,180.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,125,10,18,LINEAR,CRT,100,0,114.30,2063.053,26.50,90.00,-84.00,180.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,124,11,19,LINEAR,CRT,100,0,100.30,2063.053,9.50,90.00,-85.02,180.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,123,12,20,LINEAR,CRT,100,0,86.30,2063.053,26.50,90.00,-86.00,180.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,EN6115V3-4,122,13,21,LINEAR,CRT,100,0,72.20,2063.053,9.50,-90.00,-85.00,0.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,EN6115V3-4,121,14,22,LINEAR,CRT,100,0,44.10,2063.053,9.50,-90.00,-81.18,0.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,122,15,23,LINEAR,CRT,100,0,30.10,2063.053,26.50,-90.00,-74.81,0.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,121,16,24,LINEAR,CRT,100,0,16.10,2063.053,9.50,-90.00,-70.97,0.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,120,17,25,LINEAR,CRT,100,0,2.10,2063.053,26.50,-90.00,-69.21,0.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,119,18,26,LINEAR,CRT,100,0,-11.90,2063.053,9.50,-90.00,-71.38,0.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,118,19,27,LINEAR,CRT,100,0,-25.90,2063.053,26.50,-90.00,-65.58,0.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,117,20,28,LINEAR,CRT,100,0,-39.90,2063.053,9.50,-90.00,-74.39,0.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,116,21,29,LINEAR,CRT,100,0,-53.90,2063.053,26.50,-90.00,-64.75,0.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,115,22,30,LINEAR,CRT,100,0,-65.90,2063.053,8.00,-90.00,-68.69,0.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,113,23,31,LINEAR,CRT,100,0,-77.90,2063.053,26.50,-90.00,-61.33,0.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,114,24,32,LINEAR,CRT,100,0,-89.90,2063.053,8.00,-90.00,-62.68,0.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,112,25,33,LINEAR,CRT,100,0,-101.90,2063.053,26.50,-90.00,-54.69,0.00,1473.000,F,U,T,0,0,0,3,2
2,5,,work,fastener,ASNA2392-3-04,111,26,34,LINEAR,CRT,100,0,-113.90,2063.053,8.00,-90.00,-60.08,0.00,1473.000,F,U,T,0,0,0,3,2
2,5,,clearance,rail,E53233046200,2,5,4,LINEAR,JOINT,3000,0,63.38,56.293,-17.76,-93.42,61.44,-59.22,1473.000,,,,,,,3,2
2,5,,clearance,rail,E53233046200,2,5,3,LINEAR,JOINT,3000,10,66.96,55.033,-31.28,-65.35,78.76,-81.69,1473.000,,,,,,,3,2
2,5,,clearance,rail,E53233046200,2,5,2,JOINT,JOINT,75,25,36.94,39.591,-29.04,-13.80,100.01,-102.76,1473.000,,,,,,,3,2
2,5,,clearance,rail,E53233046200,2,5,1,LINEAR,JOINT,3000,0,0.00,18.392,-39.03,0.00,106.03,-135.00,1473.000,,,,,,,3,2
3,4,,station,rail,E53233024200,3,4,1,JOINT,JOINT,75,0,0.00,18.392,-39.03,0.00,106.03,-135.00,961.500,,,,,,,3,2
3,4,,approach,rail,E53233024200,3,4,2,LINEAR,JOINT,3000,25,36.94,39.591,-29.04,-13.80,100.01,-102.76,961.500,,,,,,,3,2
3,4,,approach,rail,E53233024200,3,4,3,JOINT,JOINT,75,10,66.96,55.033,-31.28,-65.35,78.76,-81.69,961.500,,,,,,,3,2
3,4,,approach,rail,E53233024200,3,4,4,LINEAR,JOINT,3000,0,63.38,56.293,-17.76,-93.42,61.44,-59.22,961.500,,,,,,,3,2
3,4,,work,fastener,ASNA2392-3-04,166,1,9,LINEAR,CRT,100,0,178.70,1552.500,6.80,90.00,-61.00,180.00,961.500,F,U,T,0,0,0,3,2
3,4,,work,fastener,ASNA2392-3-04,165,2,11,LINEAR,CRT,100,0,162.40,1552.500,27.30,90.00,-61.00,180.00,961.500,F,U,T,0,0,0,3,2
3,4,,work,fastener,ASNA2392-3-04,164,3,12,LINEAR,CRT,100,0,156.70,1552.500,6.80,90.00,-61.00,180.00,961.500,F,U,T,0,0,0,3,2
3,4,,work,fastener,ASNA2392-3-04,162,4,13,LINEAR,CRT,100,0,140.40,1552.500,27.30,90.00,-61.00,180.00,961.500,F,U,T,0,0,0,3,2
3,4,,work,fastener,ASNA2392-3-04,163,5,14,LINEAR,CRT,100,0,134.70,1552.500,6.80,90.00,-61.00,180.00,961.500,F,U,T,0,0,0,3,2
3,4,,work,fastener,ASNA2392-3-04,161,6,15,LINEAR,CRT,100,0,118.40,1552.500,27.30,90.00,-74.25,180.00,961.500,F,U,T,0,0,0,3,2
3,4,,work,fastener,ASNA2392-3-04,160,7,16,LINEAR,CRT,100,0,112.70,1552.500,6.80,90.00,-74.25,180.00,961.500,F,U,T,0,0,0,3,2
3,4,,work,fastener,ASNA2392-3-04,159,8,17,LINEAR,CRT,100,0,96.40,1552.154,27.30,-90.00,-86.34,0.00,961.500,F,U,T,0,0,0,3,2
3,4,,work,fastener,EN6115V3-4,156,9,18,LINEAR,CRT,100,0,86.70,1552.154,6.80,-90.00,-87.74,0.00,961.500,F,U,T,0,0,0,3,2
3,4,,work,fastener,EN6115V3-4,155,10,19,LINEAR,CRT,100,0,57.90,1552.154,6.80,-90.00,-81.18,0.00,961.500,F,U,T,0,0,0,3,2
3,4,,work,fastener,ASNA2392-3-04,158,11,20,LINEAR,CRT,100,0,48.20,1552.154,27.30,-90.00,-74.81,0.00,961.500,F,U,T,0,0,0,3,2
3,4,,work,fastener,ASNA2392-3-04,154,12,21,LINEAR,CRT,100,0,31.90,1552.500,6.80,-90.00,-70.97,0.00,961.500,F,U,T,0,0,0,3,2
3,4,,work,fastener,ASNA2392-3-04,153,13,22,LINEAR,CRT,100,0,22.20,1552.500,27.30,-90.00,-69.21,0.00,961.500,F,U,T,0,0,0,3,2
3,4,,work,fastener,ASNA2392-3-04,155,14,23,LINEAR,CRT,100,0,9.90,1552.500,6.80,-90.00,-71.38,0.00,961.500,F,U,T,0,0,0,3,2
3,4,,work,fastener,ASNA2392-3-04,152,15,24,LINEAR,CRT,100,0,0.20,1552.500,27.30,-90.00,-65.58,0.00,961.500,F,U,T,0,0,0,3,2
3,4,,work,fastener,ASNA2392-3-04,156,16,25,LINEAR,CRT,100,0,-12.10,1552.500,6.80,-90.00,-74.39,0.00,961.500,F,U,T,0,0,0,3,2
3,4,,work,fastener,ASNA2392-3-04,151,17,26,LINEAR,CRT,100,0,-21.80,1552.500,27.30,-90.00,-64.75,0.00,961.500,F,U,T,0,0,0,3,2
3,4,,work,fastener,ASNA2392-3-04,157,18,27,LINEAR,CRT,100,0,-34.10,1552.500,6.80,-90.00,-68.69,0.00,961.500,F,U,T,0,0,0,3,2
3,4,,clearance,rail,E53233024200,3,4,4,LINEAR,JOINT,3000,0,63.38,56.293,-17.76,-93.42,61.44,-59.22,961.500,,,,,,,3,2
3,4,,clearance,rail,E53233024200,3,4,3,LINEAR,JOINT,3000,10,66.96,55.033,-31.28,-65.35,78.76,-81.69,961.500,,,,,,,3,2
3,4,,clearance,rail,E53233024200,3,4,2,JOINT,JOINT,75,25,36.94,39.591,-29.04,-13.80,100.01,-102.76,961.500,,,,,,,3,2
3,4,,clearance,rail,E53233024200,3,4,1,LINEAR,JOINT,3000,0,0.00,18.392,-39.03,0.00,106.03,-135.00,961.500,,,,,,,3,2
4,3,,station,rail,E53233025200,4,3,1,JOINT,JOINT,75,0,0.00,18.400,-39.00,0.00,106.04,-135.00,1757.440,,,,,,,3,2
4,3,,approach,rail,E53233025200,4,3,2,LINEAR,JOINT,3000,25,-44.66,56.984,-17.01,15.91,90.23,182.22,1757.440,,,,,,,3,2
4,3,,approach,rail,E53233025200,4,3,3,JOINT,JOINT,75,25,-44.66,56.984,-17.01,15.91,90.23,-80.84,1757.440,,,,,,,3,2
4,3,,approach,rail,E53233025200,4,3,4,JOINT,JOINT,75,25,-34.61,36.313,-30.94,13.06,101.42,-68.42,1757.440,,,,,,,3,2
